Disease,Medication
Fungal infection,Antifungal creams (Clotrimazole)
Fungal infection,Fluconazole (oral)
Fungal infection,Terbinafine
Fungal infection,Ketoconazole shampoo
Fungal infection,Miconazole
Allergy,Antihistamines (Cetirizine)
Allergy,Loratadine
Allergy,Fexofenadine
Allergy,Nasal corticosteroids
Allergy,Epinephrine (severe cases)
GERD,Omeprazole (PPI)
GERD,Pantoprazole
GERD,Ranitidine (H2 blocker)
GERD,Antacids (Gelusil)
GERD,Domperidone
Chronic cholestasis,Ursodeoxycholic acid
Chronic cholestasis,Cholestyramine
Chronic cholestasis,Rifampicin (for itching)
Chronic cholestasis,Vitamin K supplements
Chronic cholestasis,Fat-soluble vitamins (A/D/E/K)
Drug Reaction,Discontinue offending drug
Drug Reaction,Antihistamines
Drug Reaction,Corticosteroids (Prednisolone)
Drug Reaction,Epinephrine (anaphylaxis)
Drug Reaction,IV fluids (if needed)
Peptic ulcer disease,Omeprazole
Peptic ulcer disease,Amoxicillin + Clarithromycin (H. pylori)
Peptic ulcer disease,Antacids
Peptic ulcer disease,Sucralfate
Peptic ulcer disease,Misoprostol
AIDS,Antiretroviral therapy (ART)
AIDS,Tenofovir + Emtricitabine
AIDS,Dolutegravir
AIDS,Cotrimoxazole (prophylaxis)
AIDS,Fluconazole (opportunistic infections)
Diabetes,Metformin
Diabetes,Insulin (Type 1)
Diabetes,Glipizide
Diabetes,Sitagliptin
Diabetes,Empagliflozin
Gastroenteritis,Oral Rehydration Salts (ORS)
Gastroenteritis,Ondansetron (anti-nausea)
Gastroenteritis,Loperamide
Gastroenteritis,Probiotics
Gastroenteritis,Zinc supplements (children)
Bronchial Asthma,Salbutamol inhaler
Bronchial Asthma,Budesonide inhaler (ICS)
Bronchial Asthma,Montelukast
Bronchial Asthma,Ipratropium bromide
Bronchial Asthma,Prednisolone (acute attacks)
Hypertension,Amlodipine
Hypertension,Enalapril (ACE inhibitor)
Hypertension,Losartan (ARB)
Hypertension,Hydrochlorothiazide
Hypertension,Atenolol (beta blocker)
Migraine,Sumatriptan
Migraine,Ibuprofen
Migraine,Paracetamol
Migraine,Propranolol (preventive)
Migraine,Topiramate (preventive)
Cervical spondylosis,Ibuprofen / Naproxen
Cervical spondylosis,Muscle relaxants (Cyclobenzaprine)
Cervical spondylosis,Physiotherapy
Cervical spondylosis,Gabapentin (nerve pain)
Cervical spondylosis,Diclofenac gel (topical)
Paralysis (brain hemorrhage),Aspirin (ischemic stroke)
Paralysis (brain hemorrhage),Warfarin / Heparin
Paralysis (brain hemorrhage),tPA (clot buster - acute)
Paralysis (brain hemorrhage),Physiotherapy
Paralysis (brain hemorrhage),Mannitol (to reduce brain swelling)
Jaundice,Ursodeoxycholic acid
Jaundice,Rifampicin
Jaundice,IV fluids
Jaundice,Cholestyramine
Jaundice,Treat underlying cause
Malaria,Chloroquine
Malaria,Artemisinin-based combination therapy (ACT)
Malaria,Doxycycline (prophylaxis)
